iter	Logloss
0	0.6749978687
1	0.6592686664
2	0.6440440554
3	0.6300837745
4	0.6195806736
5	0.6119039734
6	0.6034182346
7	0.5960050423
8	0.5964851276
9	0.5901030893
10	0.5850696174
11	0.5810462655
12	0.5769340018
13	0.573693314
14	0.5705010809
15	0.5670494237
16	0.5640629537
17	0.5623167749
18	0.5603664507
119	0.5560120718220	0.554353556921	0.5556482297
22	0.5535950208
23	0.5520602098
24	0.5504881922
25	0.5490983451
26	0.5474512839
27	0.5456825549
28	0.5449743693
29	0.5437793307
30	0.5428166004
31	0.5421828793
32	0.5413437361
33	0.540924808
34	0.540315579
35	0.5402546325
36	0.5387941798
37	0.5382268273
38	0.5377870482
39	0.5375115061
40	0.5367302255
41	0.5359365773
42	0.5351307441
43	0.534193187
44	0.533355632
45	0.5327450114
46	0.5314850162
47	0.5310290546
48	0.5309188162
49	0.5299289884
50	0.5295871017
51	0.5290865138
52	0.5286900664
53	0.5284470625
54	0.5281767264
55	0.5275525603
56	0.5271198694
57	0.526870904
58	0.5266059917
59	0.5260074442
60	0.5257983322
61	0.525664839
62	0.5252800853
63	0.5241891566
64	0.5239678987
65	0.5233656715
66	0.5229634271
67	0.522620449
68	0.5222791643
69	0.5217756247
70	0.5214403164
71	0.5210219148
72	0.5204053927
73	0.5202011619
74	0.5194705633
75	0.5189761666
76	0.5185013156
77	0.5180800447
78	0.5177500083
79	0.517095719
80	0.5166744678
81	0.5158427439
82	0.5153102781
83	0.5150086164
84	0.5147396119
85	0.514188337
86	0.5136554074
87	0.5132608095
88	0.5129733179
89	0.5127780627
90	0.5118938397
91	0.5113372638
92	0.5111685721
93	0.510894455
94	0.5105568419
95	0.5096880171
96	0.50900996
97	0.5083008487
98	0.5079497462
99	0.5076693587
92847
